Thread ID: 5693420
Total: 4.460886
Sort by: self_time

 %self     total     self     wait    child    calls   name
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::HeaderHash#merge 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Helpers#mime_type 
  0.00     28.25     0.00     0.00    28.25        2   Sinatra::ShowExceptions#call 
  0.00      0.00     0.00     0.00     0.00        4   Hash#delete 
  0.00      0.00     0.00     0.00     0.00        6   String#include? 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::XSSHeader#header 
  0.00      0.00     0.00     0.00     0.00        2   Hash#== 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#parse_query 
  0.00      0.00     0.00     0.00     0.00        8   String#=== 
  0.00      0.00     0.00     0.00     0.00        4   Enumerable#any? 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::FrameOptions#header 
  0.00      0.00     0.00     0.00     0.00       10   Fixnum#== 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Response#[] 
  0.00      0.00     0.00     0.00     0.00        8   <Class::BasicObject>#allocate 
  0.00      0.00     0.00     0.00     0.00        4   <Class::File>#join 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#parseable_data? 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils#bytesize 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::HeaderHash#merge! 
  0.00      0.00     0.00     0.00     0.00        2   Regexp#match 
  0.00      0.00     0.00     0.00     0.00        6   Kernel#nil? 
  0.00      0.00     0.00     0.00     0.00        1   Module#module_function 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::IPSpoofing#accepts? 
  0.00      0.00     0.00     0.00     0.00        2   Enumerable#all? 
  0.00      0.00     0.00     0.00     0.00        2   IO#set_encoding 
  0.00      0.00     0.00     0.00     0.00        4   Fixnum#to_s 
  0.00      0.00     0.00     0.00     0.00        2   Enumerable#inject 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#path_info 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Base#indifferent_hash 
  0.00      0.00     0.00     0.00     0.00        2   Enumerable#map 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils::KeySpaceConstrainedParams#initialize 
  0.00      0.00     0.00     0.00     0.00        4   Hash#initialize 
  0.00      0.00     0.00     0.00     0.00        4   Hash#include? 
  0.00      0.00     0.00     0.00     0.00        6   String#empty? 
  0.00      0.00     0.00     0.00     0.00        4   NilClass#nil? 
  0.00      0.00     0.00     0.00     0.00        4   Array#first 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#request_method 
  0.00      0.00     0.00     0.00     0.00        2   Tilt::Cache#clear 
  0.00      0.00     0.00     0.00     0.00        2   Hash#fetch 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#initialize 
  0.00      0.00     0.00     0.00     0.00        2   String#[] 
  0.00      0.00     0.00     0.00     0.00        2   <Class::Sinatra::Base>#environment 
  0.00      0.00     0.00     0.00     0.00        2   Hash#empty? 
  0.00      0.00     0.00     0.00     0.00        2   UnboundMethod#bind 
  0.00      0.00     0.00     0.00     0.00        2   <Class::String>#allocate 
  0.00      0.00     0.00     0.00     0.00        2   Array#to_a 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#lambda 
  0.00      0.00     0.00     0.00     0.00        2   String#bytesize 
  0.00      0.00     0.00     0.00     0.00        2   Hash#each_value 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#is_a? 
  0.00      0.00     0.00     0.00     0.00        2   Fixnum#to_f 
  0.00      0.00     0.00     0.00     0.00        2   Symbol#== 
  0.00      0.00     0.00     0.00     0.00        2   String#initialize_copy 
  0.00      0.00     0.00     0.00     0.00        2   MatchData#captures 
  0.00      0.00     0.00     0.00     0.00        2   Array#map 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#eql? 
  0.00      0.00     0.00     0.00     0.00        2   Hash#keys 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#initialize_copy 
  0.00      0.00     0.00     0.00     0.00        1   Module#method_added 
  0.00      0.00     0.00     0.00     0.00        1   BasicObject#singleton_method_added 

* in front of method name means it is recursively called
