Thread ID: 6469600
Total: 27.325894
Sort by: self_time

 %self     total     self     wait    child    calls   name
  0.00      8.30     0.00     0.00     8.30        2   Rack::Protection::JsonCsrf#call 
  0.00      0.00     0.00     0.00     0.00       18   Kernel#class 
  0.00      8.29     0.00     0.00     8.29        2   Sinatra::Base#route_eval 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Response#body= 
  0.00      0.00     0.00     0.00     0.00       14   String#to_s 
  0.00      0.00     0.00     0.00     0.00        4   <Class::Sinatra::Base>#force_encoding 
  0.00      0.00     0.00     0.00     0.00        2   Sinatra::Base#error_block! 
  0.00      0.00     0.00     0.00     0.00       16   <Class::Sinatra::Base>#root 
  0.00      8.30     0.00     0.00     8.30        2   Rack::Protection::Base#call 
  0.00      0.00     0.00     0.00     0.00       14   <Class::Hash>#allocate 
  0.00      0.00     0.00     0.00     0.00       20   <Class::Sinatra::Base>#settings 
  0.00      8.30     0.00     0.00     8.30        2   Rack::Protection::PathTraversal#call 
  0.00      8.30     0.00     0.00     8.30        2   Rack::Head#call 
  0.00      0.00     0.00     0.00     0.00        4   Hash#delete 
  0.00      0.00     0.00     0.00     0.00        2   Hash#== 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::XSSHeader#header 
  0.00      0.00     0.00     0.00     0.00       12   Symbol#to_s 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#form_data? 
  0.00      0.00     0.00     0.00     0.00        8   Kernel#block_given? 
  0.00      0.00     0.00     0.00     0.00        2   IO#set_encoding 
  0.00      0.00     0.00     0.00     0.00        4   <Class::Sinatra::Base>#static 
  0.00      0.00     0.00     0.00     0.00        6   String#include? 
  0.00      0.00     0.00     0.00     0.00        4   Hash#initialize 
  0.00      0.00     0.00     0.00     0.00        8   Hash#[] 
  0.00      0.00     0.00     0.00     0.00        4   <Class::File>#join 
  0.00      8.29     0.00     0.00     8.29        2   Proc#[] 
  0.00      0.00     0.00     0.00     0.00        2   Kernel#is_a? 
  0.00      8.30     0.00     0.00     8.30        2   Sinatra::Base#call 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Protection::FrameOptions#header 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Utils#parse_nested_query 
  0.00      0.00     0.00     0.00     0.00       10   String#== 
  0.00      0.00     0.00     0.00     0.00        6   Rack::Request#query_string 
  0.00      0.00     0.00     0.00     0.00        2   Rack::Request#parse_query 
  0.00      8.30     0.00     0.00     8.30        2   Rack::NullLogger#call 
  0.00      0.00     0.00     0.00     0.00        4   Rack::Response#[]= 
  0.00      0.00     0.00     0.00     0.00        4   Rack::Request#content_type 
  0.00      8.29     0.00     0.00     8.29        2   Sinatra::Base#route! 
